Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-01-01 10:00:00,Dur1,1h 23m,Bench Press,1,80,5,0,0,,,
2024-01-02 10:00:00,Dur2,55m,Bench Press,1,80,5,0,0,,,
2024-01-03 10:00:00,Dur3,1h 0m,Bench Press,1,80,5,0,0,,,
2024-01-04 10:00:00,Dur4,01:23:45,Bench Press,1,80,5,0,0,,,
2024-01-05 10:00:00,Dur5,23:45,Bench Press,1,80,5,0,0,,,
2024-01-06 10:00:00,Dur6,3600,Bench Press,1,80,5,0,0,,,
2024-01-07 10:00:00,Dur7,0m,Bench Press,1,80,5,0,0,,,
2024-01-08 10:00:00,Dur8,,Bench Press,1,80,5,0,0,,,
2024-01-09 10:00:00,Dur9,2h 30m 15s,Bench Press,1,80,5,0,0,,,
2024-01-10 10:00:00,Dur10,45s,Bench Press,1,80,5,0,0,,,
