"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Incline Bench Press (Dumbbell)",,"",0,"normal",48,13,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Incline Bench Press (Dumbbell)",,"",1,"normal",60,13,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Incline Bench Press (Dumbbell)",,"",2,"normal",72,12,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Incline Bench Press (Dumbbell)",,"",3,"normal",72,10,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Bench Press (Dumbbell)",,"",0,"normal",60,15,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Bench Press (Dumbbell)",,"",1,"normal",72,15,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Bench Press (Dumbbell)",,"",2,"normal",72,15,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Lower Chest Fly",,"",0,"normal",20,20,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Lower Chest Fly",,"",1,"normal",20,15,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Lower Chest Fly",,"",2,"normal",25,15,,,
"Monday ? You mean international CHEST DAY !","30 Jun 2025, 19:56","30 Jun 2025, 20:58","","Lower Chest Fly",,"",3,"normal",20,20,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Lat Pulldown (Machine)",,"",0,"normal",60,12,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Lat Pulldown (Machine)",,"",1,"normal",90,12,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Lat Pulldown (Machine)",,"",2,"normal",100,11,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Lat Pulldown (Machine)",,"",3,"normal",100,8,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Seated Row (Machine)",,"",0,"normal",60,15,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Seated Row (Machine)",,"",1,"normal",90,15,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Seated Row (Machine)",,"",2,"normal",100,12,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Seated Row (Machine)",,"",3,"normal",110,10,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Bicep Curl (Dumbbell)",,"",0,"normal",14,15,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Bicep Curl (Dumbbell)",,"",1,"normal",16,12,,,
"Back and biceps ??","02 Jul 2025, 17:56","02 Jul 2025, 18:57","","Bicep Curl (Dumbbell)",,"",2,"normal",18,10,,,
